lead_id,created_date,region,channel,campaign_id,lead_status,mql_date,sql_date,converted_account_id
LEAD-100051,2024-11-16,NA,Paid Search,CMP-1014,SQL,2024-11-22,2024-12-26,ACC-0128
LEAD-100052,2024-03-28,NA,Webinar,CMP-1003,Lead,,,
LEAD-100053,2025-01-16,APAC,Paid Search,CMP-1026,SQL,2025-02-04,2025-03-02,ACC-0052
LEAD-100054,2024-05-05,NA,Paid Search,CMP-1014,Lead,,,
LEAD-100055,2025-11-12,APAC,Webinar,CMP-1025,Lead,,,
LEAD-100056,2024-02-22,APAC,LinkedIn,CMP-1010,Lead,,,
LEAD-100057,2024-12-26,NA,Display,CMP-1004,Lead,,,
LEAD-100058,2024-08-05,APAC,Partners,CMP-1005,Lead,,,
LEAD-100059,2024-08-17,APAC,Webinar,CMP-1028,MQL,2024-08-30,,ACC-0011
LEAD-100060,2024-10-12,EMEA,Partners,CMP-1019,SQL,2024-10-31,2024-11-26,ACC-0140
LEAD-100061,2025-11-04,NA,Partners,CMP-1027,Lead,,,
LEAD-100062,2024-01-30,APAC,LinkedIn,CMP-1006,MQL,2024-02-11,,ACC-0183
LEAD-100063,2024-07-04,APAC,Webinar,CMP-1028,MQL,2024-07-08,,ACC-0151
LEAD-100064,2025-10-10,APAC,LinkedIn,CMP-1001,MQL,2025-10-24,,ACC-0214
LEAD-100065,2024-12-15,APAC,LinkedIn,CMP-1006,Lead,,,
LEAD-100066,2024-11-28,APAC,Webinar,CMP-1025,Lead,,,
LEAD-100067,2025-09-02,NA,Webinar,CMP-1003,Lead,,,
LEAD-100068,2024-06-08,APAC,LinkedIn,CMP-1006,Lead,,,
LEAD-100069,2024-02-20,APAC,Webinar,CMP-1022,SQL,2024-03-06,2024-04-01,
LEAD-100070,2025-02-28,NA,Display,CMP-1009,MQL,2025-03-13,,ACC-0044
LEAD-100071,2024-10-17,APAC,Webinar,CMP-1022,Lead,,,
LEAD-100072,2025-05-13,NA,LinkedIn,CMP-1017,Lead,,,
LEAD-100073,2024-02-16,EMEA,LinkedIn,CMP-1008,Lead,,,
LEAD-100074,2025-09-05,NA,Webinar,CMP-1002,SQL,2025-09-13,2025-09-23,
LEAD-100075,2024-10-23,EMEA,Webinar,CMP-1011,MQL,2024-11-07,,ACC-0155
LEAD-100076,2025-01-24,NA,LinkedIn,CMP-1018,Lead,,,
LEAD-100077,2025-05-27,NA,LinkedIn,CMP-1018,Lead,,,
LEAD-100078,2024-12-28,NA,Webinar,CMP-1003,Lead,,,
LEAD-100079,2024-02-13,NA,Paid Search,CMP-1014,MQL,2024-02-25,,ACC-0004
LEAD-100080,2025-08-10,APAC,Paid Search,CMP-1013,Lead,,,
LEAD-100081,2025-03-03,APAC,LinkedIn,CMP-1010,SQL,2025-03-15,2025-03-23,
LEAD-100082,2025-09-24,EMEA,LinkedIn,CMP-1015,Lead,,,
LEAD-100083,2025-01-05,NA,Webinar,CMP-1003,Lead,,,
LEAD-100084,2024-04-18,EMEA,LinkedIn,CMP-1008,Lead,,,
LEAD-100085,2025-02-14,NA,LinkedIn,CMP-1017,MQL,2025-02-26,,ACC-0045
LEAD-100086,2024-06-21,NA,Webinar,CMP-1003,Lead,,,
LEAD-100087,2024-04-26,NA,LinkedIn,CMP-1017,Lead,,,
LEAD-100088,2024-12-23,EMEA,Partners,CMP-1012,Lead,,,
LEAD-100089,2025-10-22,NA,Partners,CMP-1027,SQL,2025-11-01,2025-11-13,ACC-0191
LEAD-100090,2024-06-05,APAC,Webinar,CMP-1025,Lead,,,
LEAD-100091,2024-03-18,APAC,LinkedIn,CMP-1006,Lead,,,
LEAD-100092,2025-10-05,EMEA,Paid Search,CMP-1016,Lead,,,
LEAD-100093,2025-07-31,APAC,Webinar,CMP-1025,Lead,,,
LEAD-100094,2025-11-28,APAC,LinkedIn,CMP-1030,Lead,,,
LEAD-100095,2025-10-20,EMEA,Partners,CMP-1021,Lead,,,
LEAD-100096,2024-11-26,APAC,Webinar,CMP-1028,Lead,,,
LEAD-100097,2024-11-19,APAC,Partners,CMP-1005,Lead,,,
LEAD-100098,2025-04-25,EMEA,LinkedIn,CMP-1015,Lead,,,
LEAD-100099,2024-10-08,EMEA,Partners,CMP-1019,MQL,2024-10-19,,ACC-0168
LEAD-100100,2024-02-08,NA,Webinar,CMP-1002,Lead,,,
LEAD-100101,2024-10-20,NA,Webinar,CMP-1003,Lead,,,
LEAD-100102,2024-04-02,EMEA,Webinar,CMP-1020,Lead,,,
LEAD-100103,2025-01-28,EMEA,LinkedIn,CMP-1015,Lead,,,
LEAD-100104,2024-02-12,EMEA,LinkedIn,CMP-1015,Lead,,,
LEAD-100105,2025-08-08,EMEA,Partners,CMP-1021,MQL,2025-08-26,,ACC-0189
LEAD-100106,2024-03-04,EMEA,LinkedIn,CMP-1015,MQL,2024-03-16,,
LEAD-100107,2024-03-27,NA,LinkedIn,CMP-1017,Lead,,,
LEAD-100108,2024-02-10,EMEA,LinkedIn,CMP-1008,Lead,,,
LEAD-100109,2025-03-25,NA,LinkedIn,CMP-1017,Lead,,,
LEAD-100110,2024-06-11,EMEA,Partners,CMP-1012,Lead,,,
LEAD-100111,2024-10-16,APAC,Paid Search,CMP-1013,Lead,,,
LEAD-100112,2024-12-12,APAC,Webinar,CMP-1022,Lead,,,
LEAD-100113,2025-10-08,EMEA,Partners,CMP-1021,Lead,,,
LEAD-100114,2024-12-03,NA,Display,CMP-1004,Lead,,,
LEAD-100115,2025-01-30,APAC,LinkedIn,CMP-1010,MQL,2025-02-20,,
LEAD-100116,2024-12-07,NA,Webinar,CMP-1003,Lead,,,
LEAD-100117,2024-05-24,APAC,LinkedIn,CMP-1030,MQL,2024-06-07,,ACC-0200
LEAD-100118,2025-12-26,NA,Webinar,CMP-1003,Lead,,,
LEAD-100119,2025-01-20,EMEA,Partners,CMP-1021,Lead,,,
LEAD-100120,2024-05-10,APAC,Webinar,CMP-1022,Lead,,,
LEAD-100121,2025-12-02,APAC,LinkedIn,CMP-1030,Lead,,,
LEAD-100122,2025-10-23,APAC,Webinar,CMP-1022,Lead,,,
LEAD-100123,2025-01-05,APAC,LinkedIn,CMP-1001,Lead,,,
LEAD-100124,2024-07-03,NA,Webinar,CMP-1007,Lead,,,
LEAD-100125,2025-05-12,NA,Webinar,CMP-1007,SQL,2025-05-16,2025-06-09,
LEAD-100126,2024-04-13,NA,LinkedIn,CMP-1017,Lead,,,
LEAD-100127,2025-06-23,NA,Webinar,CMP-1002,Lead,,,
LEAD-100128,2025-09-24,APAC,Partners,CMP-1005,Lead,,,
LEAD-100129,2024-06-06,APAC,LinkedIn,CMP-1006,MQL,2024-06-27,,
LEAD-100130,2024-06-18,NA,LinkedIn,CMP-1024,Lead,,,
LEAD-100131,2025-02-24,EMEA,Partners,CMP-1012,Lead,,,
LEAD-100132,2024-08-31,EMEA,LinkedIn,CMP-1015,Lead,,,
LEAD-100133,2025-04-04,EMEA,LinkedIn,CMP-1008,Lead,,,
LEAD-100134,2024-11-12,APAC,Paid Search,CMP-1026,Lead,,,
LEAD-100135,2024-07-17,EMEA,Partners,CMP-1012,Lead,,,
LEAD-100136,2025-08-07,EMEA,LinkedIn,CMP-1015,Lead,,,
LEAD-100137,2024-10-15,APAC,Webinar,CMP-1025,Lead,,,
LEAD-100138,2025-06-24,NA,Paid Search,CMP-1014,Lead,,,
LEAD-100139,2024-07-23,APAC,Paid Search,CMP-1026,Lead,,,
LEAD-100140,2024-09-13,NA,Webinar,CMP-1002,Lead,,,
LEAD-100141,2025-01-15,NA,LinkedIn,CMP-1018,Lead,,,
LEAD-100142,2025-12-29,APAC,Webinar,CMP-1028,Lead,,,
LEAD-100143,2024-05-07,APAC,LinkedIn,CMP-1010,SQL,2024-05-23,2024-06-18,ACC-0179
LEAD-100144,2025-03-23,NA,Webinar,CMP-1003,Lead,,,
LEAD-100145,2024-08-15,NA,Partners,CMP-1027,Lead,,,
LEAD-100146,2024-12-23,APAC,LinkedIn,CMP-1030,SQL,2025-01-10,2025-01-25,ACC-0229
LEAD-100147,2024-03-24,EMEA,Partners,CMP-1012,SQL,2024-03-29,2024-04-24,
LEAD-100148,2024-05-20,NA,Webinar,CMP-1002,Lead,,,
LEAD-100149,2025-04-28,EMEA,Webinar,CMP-1023,Lead,,,
LEAD-100150,2025-12-23,EMEA,Paid Search,CMP-1016,Lead,,,
LEAD-100151,2024-01-06,APAC,Paid Search,CMP-1029,SQL,2024-01-12,2024-02-20,
LEAD-100152,2025-09-15,NA,LinkedIn,CMP-1017,Lead,,,
LEAD-100153,2024-10-22,EMEA,LinkedIn,CMP-1008,SQL,2024-11-06,2024-11-30,ACC-0042
LEAD-100154,2025-05-26,EMEA,Webinar,CMP-1020,Lead,,,
LEAD-100155,2025-10-09,NA,LinkedIn,CMP-1017,Lead,,,
LEAD-100156,2024-05-27,APAC,LinkedIn,CMP-1010,Lead,,,
LEAD-100157,2025-09-21,EMEA,Partners,CMP-1012,SQL,2025-09-25,2025-11-03,
LEAD-100158,2024-03-10,NA,LinkedIn,CMP-1017,Lead,,,
LEAD-100159,2025-06-03,NA,LinkedIn,CMP-1018,MQL,2025-06-06,,
LEAD-100160,2025-01-17,NA,Display,CMP-1009,Lead,,,
LEAD-100161,2024-12-31,APAC,Paid Search,CMP-1026,SQL,2025-01-05,2025-01-31,ACC-0121
LEAD-100162,2024-12-26,NA,LinkedIn,CMP-1018,MQL,2025-01-11,,
LEAD-100163,2025-05-05,EMEA,Partners,CMP-1021,SQL,2025-05-21,2025-05-17,ACC-0060
LEAD-100164,2024-02-14,APAC,Paid Search,CMP-1026,SQL,2024-02-25,2024-03-27,ACC-0019
LEAD-100165,2025-07-10,EMEA,Paid Search,CMP-1016,MQL,2025-07-18,,ACC-0038
LEAD-100166,2024-02-18,APAC,Webinar,CMP-1028,Lead,,,
LEAD-100167,2024-10-06,NA,Display,CMP-1004,Lead,,,
LEAD-100168,2025-03-23,APAC,Paid Search,CMP-1029,Lead,,,
LEAD-100169,2025-03-26,APAC,Paid Search,CMP-1029,Lead,,,
LEAD-100170,2024-12-13,APAC,LinkedIn,CMP-1006,Lead,,,
LEAD-100171,2025-05-24,EMEA,Partners,CMP-1012,Lead,,,
LEAD-100172,2025-06-15,NA,Display,CMP-1009,Lead,,,
LEAD-100173,2025-03-10,NA,Webinar,CMP-1003,Lead,,,
LEAD-100174,2024-07-03,NA,LinkedIn,CMP-1018,SQL,2024-07-15,2024-07-31,ACC-0141
LEAD-100175,2025-09-09,EMEA,Webinar,CMP-1023,Lead,,,
LEAD-100176,2025-12-07,EMEA,LinkedIn,CMP-1015,Lead,,,
LEAD-100177,2024-02-13,NA,LinkedIn,CMP-1024,Lead,,,
LEAD-100178,2024-12-27,EMEA,Webinar,CMP-1020,Lead,,,
LEAD-100179,2024-10-08,EMEA,Partners,CMP-1021,Lead,,,
LEAD-100180,2024-02-28,NA,Webinar,CMP-1003,Lead,,,
LEAD-100181,2025-02-19,EMEA,Partners,CMP-1012,Lead,,,
LEAD-100182,2025-11-26,APAC,LinkedIn,CMP-1006,Lead,,,
LEAD-100183,2024-05-26,APAC,Webinar,CMP-1028,Lead,,,
LEAD-100184,2025-03-24,NA,Webinar,CMP-1002,SQL,2025-04-06,2025-04-26,ACC-0198
LEAD-100185,2025-08-03,NA,Webinar,CMP-1002,Lead,,,
LEAD-100186,2025-11-26,EMEA,LinkedIn,CMP-1015,Lead,,,
LEAD-100187,2025-01-15,EMEA,LinkedIn,CMP-1015,Lead,,,
LEAD-100188,2025-08-10,APAC,Partners,CMP-1005,Lead,,,
LEAD-100189,2025-02-11,EMEA,Webinar,CMP-1011,Lead,,,
LEAD-100190,2024-09-12,NA,Display,CMP-1004,SQL,2024-09-30,2024-10-16,
LEAD-100191,2024-04-30,NA,Display,CMP-1009,Lead,,,
LEAD-100192,2025-12-21,EMEA,LinkedIn,CMP-1015,MQL,2026-01-07,,ACC-0148
LEAD-100193,2024-05-18,APAC,Webinar,CMP-1028,SQL,2024-06-03,2024-06-02,
LEAD-100194,2024-11-23,APAC,Webinar,CMP-1022,Lead,,,
LEAD-100195,2024-03-07,NA,LinkedIn,CMP-1018,Lead,,,
LEAD-100196,2024-11-03,APAC,Webinar,CMP-1028,MQL,2024-11-10,,
LEAD-100197,2025-06-04,EMEA,LinkedIn,CMP-1008,SQL,2025-06-10,2025-06-29,
LEAD-100198,2024-01-27,EMEA,Partners,CMP-1012,Lead,,,
LEAD-100199,2025-01-12,EMEA,LinkedIn,CMP-1015,Lead,,,
LEAD-100200,2025-07-18,APAC,Partners,CMP-1005,Lead,,,
LEAD-100201,2024-03-29,NA,Webinar,CMP-1003,Lead,,,
LEAD-100202,2025-05-05,NA,LinkedIn,CMP-1017,Lead,,,
LEAD-100203,2025-02-23,NA,Partners,CMP-1027,Lead,,,
LEAD-100204,2024-05-08,EMEA,Webinar,CMP-1011,Lead,,,
LEAD-100205,2025-04-05,EMEA,LinkedIn,CMP-1015,Lead,,,
LEAD-100206,2024-12-18,APAC,Partners,CMP-1005,Lead,,,
LEAD-100207,2025-07-18,EMEA,Partners,CMP-1021,Lead,,,
LEAD-100208,2024-05-12,NA,Paid Search,CMP-1014,Lead,,,
LEAD-100209,2024-02-26,NA,Partners,CMP-1027,SQL,2024-03-04,2024-03-17,ACC-0165
LEAD-100210,2025-12-27,EMEA,LinkedIn,CMP-1008,MQL,2026-01-07,,
LEAD-100211,2024-09-13,NA,Webinar,CMP-1007,Lead,,,
LEAD-100212,2025-07-18,NA,Display,CMP-1009,SQL,2025-08-06,2025-08-02,ACC-0229
LEAD-100213,2024-06-21,EMEA,Partners,CMP-1019,Lead,,,
LEAD-100214,2024-06-06,APAC,LinkedIn,CMP-1006,Lead,,,
LEAD-100215,2025-09-11,EMEA,Webinar,CMP-1011,Lead,,,
LEAD-100216,2025-07-31,NA,Webinar,CMP-1002,Lead,,,
LEAD-100217,2024-01-30,NA,Webinar,CMP-1003,MQL,2024-02-19,,ACC-0045
LEAD-100218,2024-08-03,APAC,Webinar,CMP-1025,Lead,,,
LEAD-100219,2025-09-24,EMEA,Partners,CMP-1021,MQL,2025-10-13,,ACC-0170
LEAD-100220,2024-11-05,EMEA,Paid Search,CMP-1016,MQL,2024-11-19,,ACC-0124
LEAD-100221,2024-03-15,EMEA,Webinar,CMP-1023,SQL,2024-04-01,2024-04-23,ACC-0118
LEAD-100222,2025-09-13,APAC,Partners,CMP-1005,Lead,,,
LEAD-100223,2024-11-22,NA,LinkedIn,CMP-1024,Lead,,,
LEAD-100224,2024-12-19,APAC,Paid Search,CMP-1013,SQL,2025-01-07,2025-01-04,ACC-0192
LEAD-100225,2025-04-22,NA,Display,CMP-1004,Lead,,,
LEAD-100226,2024-09-10,APAC,Partners,CMP-1005,SQL,2024-09-24,2024-10-16,ACC-0073
LEAD-100227,2024-06-12,NA,Partners,CMP-1027,Lead,,,
LEAD-100228,2025-08-14,NA,LinkedIn,CMP-1024,MQL,2025-08-31,,
LEAD-100229,2025-04-23,EMEA,Paid Search,CMP-1016,Lead,,,
LEAD-100230,2025-05-24,APAC,LinkedIn,CMP-1001,SQL,2025-06-09,2025-06-18,ACC-0065
LEAD-100231,2024-12-27,NA,Webinar,CMP-1002,MQL,2025-01-13,,ACC-0003
LEAD-100232,2024-01-09,APAC,Webinar,CMP-1028,SQL,2024-01-19,2024-02-11,
LEAD-100233,2025-01-09,NA,Webinar,CMP-1002,Lead,,,
LEAD-100234,2025-08-06,NA,LinkedIn,CMP-1018,MQL,2025-08-10,,ACC-0095
LEAD-100235,2025-04-06,APAC,Webinar,CMP-1025,Lead,,,
LEAD-100236,2025-09-30,APAC,Webinar,CMP-1022,Lead,,,
LEAD-100237,2024-05-11,NA,Display,CMP-1004,Lead,,,
LEAD-100238,2024-12-13,NA,LinkedIn,CMP-1018,Lead,,,
LEAD-100239,2024-05-27,NA,Webinar,CMP-1007,Lead,,,
LEAD-100240,2025-02-15,NA,LinkedIn,CMP-1017,SQL,2025-02-27,2025-03-27,ACC-0144
LEAD-100241,2024-06-01,EMEA,Webinar,CMP-1020,Lead,,,
LEAD-100242,2024-05-23,EMEA,Webinar,CMP-1011,Lead,,,
LEAD-100243,2024-11-22,APAC,LinkedIn,CMP-1006,Lead,,,
LEAD-100244,2025-09-23,NA,LinkedIn,CMP-1024,Lead,,,
LEAD-100245,2025-08-30,EMEA,Webinar,CMP-1011,Lead,,,
LEAD-100246,2025-06-05,NA,LinkedIn,CMP-1018,Lead,,,
LEAD-100247,2025-07-30,APAC,LinkedIn,CMP-1010,Lead,,,
LEAD-100248,2024-01-18,EMEA,Partners,CMP-1012,Lead,,,
LEAD-100249,2024-04-22,NA,Paid Search,CMP-1014,Lead,,,
LEAD-100250,2025-12-05,EMEA,Partners,CMP-1021,MQL,2025-12-25,,ACC-0111
LEAD-100251,2024-02-22,EMEA,Partners,CMP-1019,Lead,,,
LEAD-100252,2025-06-20,EMEA,Partners,CMP-1021,Lead,,,
LEAD-100253,2025-01-24,APAC,Partners,CMP-1005,Lead,,,
LEAD-100254,2024-09-05,NA,Webinar,CMP-1002,Lead,,,
LEAD-100255,2025-12-18,NA,Display,CMP-1004,SQL,2026-01-02,2026-01-06,ACC-0225
LEAD-100256,2024-07-27,NA,Paid Search,CMP-1014,Lead,,,
LEAD-100257,2025-09-18,APAC,LinkedIn,CMP-1030,Lead,,,
LEAD-100258,2024-03-04,EMEA,Webinar,CMP-1023,SQL,2024-03-16,2024-04-13,ACC-0228
LEAD-100259,2024-11-17,APAC,LinkedIn,CMP-1006,Lead,,,
LEAD-100260,2025-06-29,EMEA,Webinar,CMP-1011,Lead,,,
LEAD-100261,2025-11-23,APAC,Webinar,CMP-1025,Lead,,,
LEAD-100262,2025-11-28,EMEA,Partners,CMP-1021,Lead,,,
LEAD-100263,2024-09-27,EMEA,Webinar,CMP-1020,Lead,,,
LEAD-100264,2024-09-09,NA,Display,CMP-1009,Lead,,,
LEAD-100265,2024-08-18,APAC,LinkedIn,CMP-1010,Lead,,,
LEAD-100266,2025-12-22,NA,Webinar,CMP-1007,Lead,,,
LEAD-100267,2025-05-15,EMEA,Webinar,CMP-1011,Lead,,,
LEAD-100268,2025-07-27,APAC,LinkedIn,CMP-1030,Lead,,,
LEAD-100269,2024-10-07,APAC,LinkedIn,CMP-1010,MQL,2024-10-21,,
LEAD-100270,2025-02-08,NA,Partners,CMP-1027,Lead,,,
LEAD-100271,2024-05-29,APAC,LinkedIn,CMP-1010,MQL,2024-06-02,,ACC-0118
LEAD-100272,2025-03-28,EMEA,Partners,CMP-1021,Lead,,,
LEAD-100273,2025-05-05,NA,Webinar,CMP-1007,MQL,2025-05-24,,
LEAD-100274,2024-05-20,NA,Display,CMP-1004,Lead,,,
LEAD-100275,2025-08-23,EMEA,LinkedIn,CMP-1008,MQL,2025-09-10,,ACC-0090
LEAD-100276,2024-08-26,NA,Webinar,CMP-1002,SQL,2024-09-12,2024-09-11,
LEAD-100277,2024-05-20,APAC,LinkedIn,CMP-1001,Lead,,,
LEAD-100278,2024-06-10,NA,Paid Search,CMP-1014,Lead,,,
LEAD-100279,2025-05-02,EMEA,Paid Search,CMP-1016,Lead,,,
LEAD-100280,2024-10-21,EMEA,Webinar,CMP-1011,Lead,,,
LEAD-100281,2024-03-01,APAC,LinkedIn,CMP-1030,Lead,,,
LEAD-100282,2025-10-29,EMEA,Partners,CMP-1019,MQL,2025-11-01,,
LEAD-100283,2024-06-28,NA,Paid Search,CMP-1014,Lead,,,
LEAD-100284,2024-06-29,APAC,LinkedIn,CMP-1030,Lead,,,
LEAD-100285,2025-02-10,APAC,Paid Search,CMP-1026,Lead,,,
LEAD-100286,2024-10-23,APAC,Paid Search,CMP-1029,SQL,2024-11-13,2024-11-08,
LEAD-100287,2024-12-09,APAC,LinkedIn,CMP-1010,Lead,,,
LEAD-100288,2025-10-18,NA,LinkedIn,CMP-1018,Lead,,,
LEAD-100289,2024-05-17,APAC,Webinar,CMP-1028,Lead,,,
LEAD-100290,2024-10-06,NA,Webinar,CMP-1007,Lead,,,
LEAD-100291,2024-12-04,APAC,LinkedIn,CMP-1006,Lead,,,
LEAD-100292,2025-10-25,NA,Display,CMP-1009,Lead,,,
LEAD-100293,2024-01-15,NA,LinkedIn,CMP-1024,SQL,2024-01-23,2024-02-05,
LEAD-100294,2025-10-16,APAC,Paid Search,CMP-1029,Lead,,,
LEAD-100295,2025-03-13,NA,LinkedIn,CMP-1017,SQL,2025-03-18,2025-04-03,
LEAD-100296,2025-05-03,EMEA,Webinar,CMP-1011,Lead,,,
LEAD-100297,2024-01-07,NA,Display,CMP-1009,Lead,,,
LEAD-100298,2025-04-02,APAC,Webinar,CMP-1025,Lead,,,
LEAD-100299,2024-12-03,APAC,LinkedIn,CMP-1010,Lead,,,
LEAD-100300,2025-08-09,APAC,LinkedIn,CMP-1001,SQL,2025-08-18,2025-08-22,
LEAD-100301,2025-04-21,APAC,LinkedIn,CMP-1010,MQL,2025-05-02,,
LEAD-100302,2025-10-16,APAC,LinkedIn,CMP-1030,Lead,,,
LEAD-100303,2025-01-11,EMEA,Webinar,CMP-1020,MQL,2025-01-28,,ACC-0084
LEAD-100304,2025-09-12,EMEA,Partners,CMP-1012,Lead,,,
LEAD-100305,2025-07-16,APAC,LinkedIn,CMP-1030,Lead,,,
LEAD-100306,2025-07-04,APAC,Paid Search,CMP-1026,Lead,,,
LEAD-100307,2024-08-11,APAC,Webinar,CMP-1025,MQL,2024-08-15,,ACC-0108
LEAD-100308,2025-06-24,EMEA,Webinar,CMP-1023,Lead,,,
LEAD-100309,2025-07-31,NA,Display,CMP-1004,MQL,2025-08-18,,ACC-0084
LEAD-100310,2025-07-03,APAC,Partners,CMP-1005,MQL,2025-07-19,,ACC-0126
LEAD-100311,2024-07-29,EMEA,Webinar,CMP-1023,Lead,,,
LEAD-100312,2024-04-03,APAC,Paid Search,CMP-1029,Lead,,,
LEAD-100313,2024-02-26,EMEA,LinkedIn,CMP-1015,SQL,2024-03-17,2024-03-10,ACC-0140
LEAD-100314,2025-11-19,APAC,Paid Search,CMP-1026,SQL,2025-11-29,2025-11-29,
LEAD-100315,2025-08-15,NA,Webinar,CMP-1003,SQL,2025-08-19,2025-09-28,
LEAD-100316,2024-03-11,APAC,LinkedIn,CMP-1030,Lead,,,
LEAD-100317,2024-10-20,NA,Paid Search,CMP-1014,SQL,2024-11-04,2024-11-22,
LEAD-100318,2025-01-26,EMEA,LinkedIn,CMP-1015,Lead,,,
LEAD-100319,2025-01-21,APAC,Paid Search,CMP-1013,MQL,2025-02-09,,ACC-0148
LEAD-100320,2024-12-22,NA,Display,CMP-1004,MQL,2025-01-09,,ACC-0239
LEAD-100321,2024-08-16,NA,Partners,CMP-1027,SQL,2024-08-27,2024-09-24,
LEAD-100322,2025-07-11,NA,Paid Search,CMP-1014,Lead,,,
LEAD-100323,2024-08-23,EMEA,LinkedIn,CMP-1008,Lead,,,
LEAD-100324,2024-06-07,NA,Display,CMP-1009,MQL,2024-06-12,,ACC-0183
LEAD-100325,2025-11-07,NA,Paid Search,CMP-1014,Lead,,,
LEAD-100326,2024-01-17,EMEA,LinkedIn,CMP-1008,SQL,2024-01-20,2024-02-24,ACC-0062
LEAD-100327,2025-12-21,APAC,Webinar,CMP-1028,MQL,2026-01-04,,ACC-0151
LEAD-100328,2025-07-06,NA,Webinar,CMP-1007,Lead,,,
LEAD-100329,2024-02-27,APAC,Partners,CMP-1005,Lead,,,
LEAD-100330,2024-10-23,EMEA,LinkedIn,CMP-1008,Lead,,,
