shipment_id,ship_date,region,account_id,doctor_id,product_line,cases_shipped
SHP-300070,2024-11-11,EMEA,ACC-0227,DR-9098,Clear Aligners,8
SHP-300071,2025-11-23,EMEA,ACC-0209,DR-9640,Clear Aligners,3
SHP-300072,2025-02-27,EMEA,ACC-0033,DR-9989,Clear Aligners,7
SHP-300073,2025-06-04,NA,ACC-0167,DR-9520,Clear Aligners,7
SHP-300074,2024-03-05,APAC,ACC-0098,DR-9774,Clear Aligners,6
SHP-300075,2025-11-20,EMEA,ACC-0056,DR-9205,Clear Aligners,6
SHP-300076,2025-05-27,APAC,ACC-0216,DR-9991,Clear Aligners,8
SHP-300077,2025-08-28,APAC,ACC-0012,DR-9217,Clear Aligners,4
SHP-300078,2025-02-24,APAC,ACC-0249,DR-9904,Clear Aligners,8
SHP-300079,2024-02-22,NA,ACC-0103,DR-9205,Clear Aligners,3
SHP-300080,2025-05-16,NA,ACC-0002,DR-9504,Clear Aligners,7
SHP-300081,2024-12-25,NA,ACC-0202,DR-9827,Clear Aligners,5
SHP-300082,2024-12-08,EMEA,ACC-0236,DR-9671,Clear Aligners,7
SHP-300083,2025-01-29,NA,ACC-0101,DR-9838,Clear Aligners,5
SHP-300084,2025-03-29,EMEA,ACC-0163,DR-9357,Clear Aligners,6
SHP-300085,2025-10-05,APAC,ACC-0197,DR-9244,Scanner,2
SHP-300086,2025-03-29,APAC,ACC-0160,DR-9884,Imaging,2
SHP-300087,2025-10-25,APAC,ACC-0029,DR-9653,Clear Aligners,3
SHP-300088,2024-09-16,APAC,ACC-0194,DR-9373,Clear Aligners,4
SHP-300089,2025-03-29,EMEA,ACC-0222,DR-9614,Clear Aligners,1
SHP-300090,2025-07-26,APAC,ACC-0175,DR-9695,Clear Aligners,7
SHP-300091,2024-11-18,NA,ACC-0158,DR-9657,Scanner,2
SHP-300092,2024-12-06,NA,ACC-0211,DR-9242,Scanner,2
SHP-300093,2024-12-23,EMEA,ACC-0084,DR-9887,Clear Aligners,1
SHP-300094,2025-05-08,EMEA,ACC-0248,DR-9383,Clear Aligners,4
SHP-300095,2025-06-28,EMEA,ACC-0134,DR-9746,Clear Aligners,6
SHP-300096,2025-02-16,NA,ACC-0079,DR-9191,Clear Aligners,2
SHP-300097,2024-09-10,EMEA,ACC-0107,DR-9388,Clear Aligners,5
SHP-300098,2025-06-21,APAC,ACC-0190,DR-9940,Clear Aligners,5
SHP-300099,2024-01-30,EMEA,ACC-0246,DR-9469,Clear Aligners,4
SHP-300100,2024-02-26,NA,ACC-0016,DR-9896,Imaging,2
SHP-300101,2024-03-30,NA,ACC-0061,DR-9739,Clear Aligners,7
SHP-300102,2024-08-11,EMEA,ACC-0180,DR-9723,Clear Aligners,5
SHP-300103,2024-01-31,EMEA,ACC-0163,DR-9046,Clear Aligners,3
SHP-300104,2025-02-21,EMEA,ACC-0144,DR-9235,Clear Aligners,8
SHP-300105,2025-10-08,APAC,ACC-0141,DR-9210,Clear Aligners,4
SHP-300106,2024-10-25,APAC,ACC-0095,DR-9478,Imaging,2
SHP-300107,2025-10-25,NA,ACC-0043,DR-9708,Clear Aligners,7
SHP-300108,2025-03-18,APAC,ACC-0136,DR-9253,Clear Aligners,4
SHP-300109,2024-05-19,EMEA,ACC-0110,DR-9201,Imaging,2
SHP-300110,2024-09-27,EMEA,ACC-0115,DR-9608,Clear Aligners,3
SHP-300111,2024-02-24,APAC,ACC-0082,DR-9776,Clear Aligners,5
SHP-300112,2024-03-12,EMEA,ACC-0179,DR-9090,Clear Aligners,1
SHP-300113,2024-07-02,NA,ACC-0217,DR-9446,Clear Aligners,1
SHP-300114,2025-05-09,APAC,ACC-0048,DR-9112,Scanner,2
SHP-300115,2024-04-27,NA,ACC-0155,DR-9530,Clear Aligners,5
SHP-300116,2025-08-29,NA,ACC-0168,DR-9487,Scanner,2
SHP-300117,2024-07-26,EMEA,ACC-0085,DR-9241,Clear Aligners,1
SHP-300118,2025-03-13,EMEA,ACC-0134,DR-9257,Clear Aligners,4
SHP-300119,2024-11-25,NA,ACC-0149,DR-9671,Clear Aligners,6
SHP-300120,2024-10-03,EMEA,ACC-0107,DR-9484,Clear Aligners,4
SHP-300121,2024-12-15,APAC,ACC-0045,DR-9827,Clear Aligners,6
SHP-300122,2025-11-15,EMEA,ACC-0032,DR-9656,Scanner,1
SHP-300123,2025-02-23,APAC,ACC-0216,DR-9778,Clear Aligners,8
SHP-300124,2024-01-30,APAC,ACC-0050,DR-9881,Clear Aligners,8
SHP-300125,2024-12-08,EMEA,ACC-0122,DR-9481,Clear Aligners,1
SHP-300126,2025-05-07,NA,ACC-0043,DR-9866,Clear Aligners,2
SHP-300127,2024-06-12,EMEA,ACC-0225,DR-9244,Clear Aligners,7
SHP-300128,2024-04-07,EMEA,ACC-0063,DR-9583,Scanner,1
SHP-300129,2024-05-10,EMEA,ACC-0246,DR-9472,Clear Aligners,5
SHP-300130,2025-01-07,EMEA,ACC-0145,DR-9602,Clear Aligners,5
SHP-300131,2025-11-19,APAC,ACC-0057,DR-9754,Clear Aligners,4
SHP-300132,2024-09-11,APAC,ACC-0233,DR-9957,Clear Aligners,8
SHP-300133,2024-01-10,EMEA,ACC-0213,DR-9710,Clear Aligners,1
SHP-300134,2025-05-16,NA,ACC-0103,DR-9776,Clear Aligners,1
SHP-300135,2025-10-05,APAC,ACC-0037,DR-9414,Scanner,2
SHP-300136,2024-05-01,EMEA,ACC-0028,DR-9838,Scanner,2
SHP-300137,2024-09-30,NA,ACC-0066,DR-9036,Clear Aligners,8
SHP-300138,2025-06-24,APAC,ACC-0237,DR-9550,Clear Aligners,5
SHP-300139,2025-03-27,APAC,ACC-0205,DR-9275,Clear Aligners,4
SHP-300140,2024-01-11,EMEA,ACC-0162,DR-9529,Clear Aligners,6
SHP-300141,2025-04-18,APAC,ACC-0157,DR-9952,Clear Aligners,6
SHP-300142,2025-11-06,APAC,ACC-0095,DR-9694,Clear Aligners,1
SHP-300143,2024-10-25,APAC,ACC-0194,DR-9635,Scanner,1
SHP-300144,2025-05-05,NA,ACC-0241,DR-9059,Clear Aligners,1
SHP-300145,2024-07-12,EMEA,ACC-0064,DR-9462,Clear Aligners,4
SHP-300146,2025-11-10,EMEA,ACC-0248,DR-9822,Scanner,2
SHP-300147,2024-09-08,APAC,ACC-0240,DR-9084,Clear Aligners,7
SHP-300148,2025-05-19,APAC,ACC-0157,DR-9333,Clear Aligners,5
SHP-300149,2024-09-24,NA,ACC-0147,DR-9910,Imaging,1
SHP-300150,2025-07-18,EMEA,ACC-0120,DR-9586,Clear Aligners,6
SHP-300151,2025-08-24,EMEA,ACC-0227,DR-9204,Clear Aligners,3
SHP-300152,2025-10-02,EMEA,ACC-0039,DR-9641,Clear Aligners,6
SHP-300153,2025-03-22,APAC,ACC-0057,DR-9730,Clear Aligners,6
SHP-300154,2024-06-07,EMEA,ACC-0038,DR-9639,Clear Aligners,1
SHP-300155,2024-05-07,NA,ACC-0073,DR-9162,Clear Aligners,4
SHP-300156,2025-10-26,APAC,ACC-0111,DR-9133,Clear Aligners,7
SHP-300157,2025-01-25,APAC,ACC-0229,DR-9021,Clear Aligners,3
SHP-300158,2024-09-08,EMEA,ACC-0199,DR-9987,Clear Aligners,7
SHP-300159,2024-12-27,NA,ACC-0114,DR-9003,Clear Aligners,4
SHP-300160,2024-01-31,NA,ACC-0132,DR-9658,Clear Aligners,2
SHP-300161,2024-12-27,APAC,ACC-0117,DR-9813,Clear Aligners,1
SHP-300162,2024-07-03,EMEA,ACC-0127,DR-9213,Clear Aligners,3
SHP-300163,2024-01-27,NA,ACC-0191,DR-9887,Clear Aligners,6
SHP-300164,2024-08-08,EMEA,ACC-0044,DR-9999,Clear Aligners,6
SHP-300165,2024-01-05,NA,ACC-0132,DR-9131,Clear Aligners,4
SHP-300166,2024-03-21,APAC,ACC-0029,DR-9544,Clear Aligners,3
SHP-300167,2025-12-17,APAC,ACC-0070,DR-9709,Clear Aligners,7
SHP-300168,2025-06-13,APAC,ACC-0046,DR-9930,Clear Aligners,1
SHP-300169,2024-11-04,APAC,ACC-0025,DR-9127,Clear Aligners,1
SHP-300170,2025-08-03,EMEA,ACC-0148,DR-9990,Clear Aligners,1
SHP-300171,2024-12-20,APAC,ACC-0165,DR-9294,Clear Aligners,8
SHP-300172,2024-08-10,APAC,ACC-0221,DR-9367,Imaging,2
SHP-300173,2025-05-12,NA,ACC-0192,DR-9906,Clear Aligners,4
SHP-300174,2025-08-23,NA,ACC-0061,DR-9963,Scanner,1
SHP-300175,2024-10-04,EMEA,ACC-0032,DR-9337,Scanner,2
SHP-300176,2024-08-30,EMEA,ACC-0209,DR-9107,Clear Aligners,6
SHP-300177,2024-03-27,APAC,ACC-0098,DR-9497,Clear Aligners,3
SHP-300178,2025-11-25,NA,ACC-0131,DR-9527,Clear Aligners,3
SHP-300179,2025-03-23,NA,ACC-0010,DR-9872,Imaging,1
SHP-300180,2025-08-23,EMEA,ACC-0180,DR-9979,Clear Aligners,2
SHP-300181,2025-05-31,NA,ACC-0238,DR-9891,Clear Aligners,6
SHP-300182,2025-01-08,EMEA,ACC-0134,DR-9702,Clear Aligners,7
SHP-300183,2025-06-24,NA,ACC-0186,DR-9677,Scanner,1
SHP-300184,2024-12-10,NA,ACC-0043,DR-9605,Imaging,1
SHP-300185,2024-09-06,NA,ACC-0192,DR-9525,Clear Aligners,2
SHP-300186,2025-08-11,NA,ACC-0068,DR-9744,Clear Aligners,6
SHP-300187,2024-11-06,NA,ACC-0203,DR-9513,Clear Aligners,8
SHP-300188,2025-01-31,NA,ACC-0103,DR-9818,Clear Aligners,6
SHP-300189,2024-01-16,APAC,ACC-0019,DR-9780,Scanner,2
SHP-300190,2025-06-08,APAC,ACC-0074,DR-9599,Clear Aligners,2
SHP-300191,2025-12-31,APAC,ACC-0201,DR-9754,Scanner,1
SHP-300192,2025-06-06,NA,ACC-0191,DR-9670,Clear Aligners,5
SHP-300193,2024-10-22,APAC,ACC-0048,DR-9297,Clear Aligners,1
SHP-300194,2024-08-31,APAC,ACC-0165,DR-9027,Imaging,2
SHP-300195,2025-02-26,NA,ACC-0241,DR-9369,Clear Aligners,6
SHP-300196,2024-12-26,NA,ACC-0220,DR-9819,Clear Aligners,4
SHP-300197,2025-01-12,NA,ACC-0092,DR-9520,Scanner,1
SHP-300198,2024-03-04,NA,ACC-0189,DR-9728,Clear Aligners,3
SHP-300199,2025-11-10,APAC,ACC-0175,DR-9449,Clear Aligners,6
SHP-300200,2024-11-03,NA,ACC-0155,DR-9856,Clear Aligners,8
SHP-300201,2025-10-04,APAC,ACC-0050,DR-9504,Clear Aligners,5
SHP-300202,2025-01-16,EMEA,ACC-0179,DR-9184,Clear Aligners,6
SHP-300203,2024-10-17,NA,ACC-0161,DR-9120,Scanner,1
SHP-300204,2024-08-10,EMEA,ACC-0219,DR-9151,Clear Aligners,5
SHP-300205,2025-08-23,NA,ACC-0130,DR-9254,Scanner,2
SHP-300206,2025-09-02,NA,ACC-0013,DR-9039,Clear Aligners,1
SHP-300207,2025-05-20,NA,ACC-0002,DR-9291,Clear Aligners,6
SHP-300208,2025-01-07,EMEA,ACC-0172,DR-9291,Clear Aligners,5
SHP-300209,2025-08-05,NA,ACC-0079,DR-9426,Clear Aligners,8
SHP-300210,2024-09-28,EMEA,ACC-0209,DR-9865,Imaging,1
SHP-300211,2025-03-22,APAC,ACC-0249,DR-9202,Clear Aligners,6
SHP-300212,2025-03-07,EMEA,ACC-0219,DR-9500,Clear Aligners,2
SHP-300213,2024-06-06,APAC,ACC-0057,DR-9600,Clear Aligners,4
SHP-300214,2024-12-17,NA,ACC-0151,DR-9952,Imaging,1
SHP-300215,2025-04-06,NA,ACC-0147,DR-9269,Clear Aligners,1
SHP-300216,2025-01-19,APAC,ACC-0174,DR-9801,Clear Aligners,3
SHP-300217,2024-06-05,EMEA,ACC-0206,DR-9695,Clear Aligners,8
SHP-300218,2025-02-10,APAC,ACC-0237,DR-9824,Clear Aligners,2
SHP-300219,2024-10-16,NA,ACC-0013,DR-9971,Scanner,1
SHP-300220,2025-12-11,APAC,ACC-0216,DR-9282,Clear Aligners,2
SHP-300221,2025-05-23,NA,ACC-0184,DR-9652,Imaging,1
SHP-300222,2024-02-27,EMEA,ACC-0040,DR-9983,Clear Aligners,6
SHP-300223,2024-12-10,APAC,ACC-0233,DR-9809,Clear Aligners,5
SHP-300224,2024-12-27,EMEA,ACC-0219,DR-9986,Clear Aligners,6
SHP-300225,2025-01-07,EMEA,ACC-0004,DR-9820,Imaging,1
SHP-300226,2024-05-05,NA,ACC-0177,DR-9571,Clear Aligners,4
SHP-300227,2024-07-27,EMEA,ACC-0146,DR-9993,Clear Aligners,8
SHP-300228,2025-12-17,EMEA,ACC-0031,DR-9782,Imaging,2
SHP-300229,2025-02-28,NA,ACC-0101,DR-9573,Clear Aligners,6
SHP-300230,2024-01-08,NA,ACC-0006,DR-9822,Clear Aligners,2
SHP-300231,2024-01-31,EMEA,ACC-0137,DR-9777,Clear Aligners,1
SHP-300232,2024-10-27,APAC,ACC-0169,DR-9485,Clear Aligners,2
SHP-300233,2025-01-14,APAC,ACC-0019,DR-9696,Imaging,2
SHP-300234,2025-07-26,APAC,ACC-0125,DR-9162,Clear Aligners,2
SHP-300235,2025-10-02,NA,ACC-0217,DR-9467,Clear Aligners,4
SHP-300236,2024-08-16,NA,ACC-0186,DR-9392,Clear Aligners,1
SHP-300237,2025-09-22,APAC,ACC-0245,DR-9248,Clear Aligners,2
SHP-300238,2025-11-15,EMEA,ACC-0219,DR-9036,Clear Aligners,6
SHP-300239,2025-10-23,EMEA,ACC-0033,DR-9090,Clear Aligners,1
SHP-300240,2025-01-12,EMEA,ACC-0088,DR-9780,Clear Aligners,4
SHP-300241,2025-09-03,EMEA,ACC-0193,DR-9110,Clear Aligners,6
SHP-300242,2024-07-28,NA,ACC-0126,DR-9165,Clear Aligners,7
SHP-300243,2024-10-18,APAC,ACC-0221,DR-9625,Clear Aligners,4
SHP-300244,2025-12-03,APAC,ACC-0102,DR-9243,Clear Aligners,4
SHP-300245,2025-08-07,APAC,ACC-0182,DR-9511,Clear Aligners,1
SHP-300246,2024-07-08,NA,ACC-0079,DR-9681,Imaging,1
SHP-300247,2025-07-10,NA,ACC-0002,DR-9458,Clear Aligners,3
SHP-300248,2025-11-01,NA,ACC-0109,DR-9064,Imaging,1
SHP-300249,2025-06-24,EMEA,ACC-0127,DR-9975,Clear Aligners,8
SHP-300250,2025-06-16,NA,ACC-0158,DR-9774,Clear Aligners,7
SHP-300251,2025-04-08,APAC,ACC-0082,DR-9254,Clear Aligners,5
SHP-300252,2024-05-18,APAC,ACC-0087,DR-9556,Clear Aligners,4
SHP-300253,2024-11-02,APAC,ACC-0037,DR-9094,Clear Aligners,3
SHP-300254,2024-10-28,NA,ACC-0167,DR-9784,Clear Aligners,7
SHP-300255,2025-03-21,NA,ACC-0239,DR-9284,Clear Aligners,3
SHP-300256,2025-02-26,NA,ACC-0191,DR-9868,Clear Aligners,1
SHP-300257,2024-09-20,APAC,ACC-0215,DR-9572,Clear Aligners,4
SHP-300258,2025-12-01,APAC,ACC-0125,DR-9779,Scanner,2
SHP-300259,2025-09-05,APAC,ACC-0057,DR-9416,Scanner,1
SHP-300260,2025-03-28,EMEA,ACC-0178,DR-9666,Clear Aligners,6
SHP-300261,2025-06-14,EMEA,ACC-0234,DR-9709,Clear Aligners,8
SHP-300262,2025-03-30,APAC,ACC-0045,DR-9309,Scanner,2
SHP-300263,2025-09-16,APAC,ACC-0215,DR-9318,Clear Aligners,7
SHP-300264,2025-06-23,EMEA,ACC-0058,DR-9090,Clear Aligners,5
SHP-300265,2024-09-20,NA,ACC-0093,DR-9624,Clear Aligners,4
SHP-300266,2025-08-05,NA,ACC-0071,DR-9342,Clear Aligners,4
SHP-300267,2024-04-04,EMEA,ACC-0041,DR-9338,Scanner,2
SHP-300268,2025-02-17,APAC,ACC-0025,DR-9147,Clear Aligners,4
SHP-300269,2025-09-21,EMEA,ACC-0026,DR-9964,Clear Aligners,3
SHP-300270,2025-10-03,NA,ACC-0200,DR-9812,Clear Aligners,1
SHP-300271,2025-07-22,APAC,ACC-0098,DR-9824,Imaging,2
SHP-300272,2024-10-01,NA,ACC-0155,DR-9603,Scanner,2
SHP-300273,2025-02-03,NA,ACC-0158,DR-9827,Clear Aligners,2
SHP-300274,2024-05-04,EMEA,ACC-0060,DR-9550,Clear Aligners,3
SHP-300275,2024-05-22,APAC,ACC-0102,DR-9809,Clear Aligners,3
SHP-300276,2024-09-05,APAC,ACC-0216,DR-9665,Clear Aligners,3
SHP-300277,2024-09-29,APAC,ACC-0174,DR-9502,Clear Aligners,3
SHP-300278,2024-07-09,NA,ACC-0014,DR-9231,Imaging,2
SHP-300279,2024-07-31,EMEA,ACC-0164,DR-9723,Clear Aligners,5
SHP-300280,2024-02-24,NA,ACC-0224,DR-9691,Imaging,1
SHP-300281,2024-07-27,NA,ACC-0130,DR-9503,Clear Aligners,5
SHP-300282,2025-12-24,EMEA,ACC-0091,DR-9533,Scanner,2
SHP-300283,2025-05-22,EMEA,ACC-0018,DR-9052,Clear Aligners,5
SHP-300284,2024-12-03,EMEA,ACC-0038,DR-9394,Clear Aligners,6
SHP-300285,2025-11-22,APAC,ACC-0182,DR-9678,Scanner,2
SHP-300286,2025-10-29,APAC,ACC-0205,DR-9938,Scanner,2
SHP-300287,2025-04-16,APAC,ACC-0095,DR-9575,Clear Aligners,1
SHP-300288,2024-02-25,EMEA,ACC-0062,DR-9345,Scanner,1
SHP-300289,2024-05-14,EMEA,ACC-0242,DR-9652,Imaging,2
SHP-300290,2025-10-29,APAC,ACC-0007,DR-9654,Clear Aligners,5
SHP-300291,2025-09-08,EMEA,ACC-0139,DR-9991,Clear Aligners,7
SHP-300292,2024-08-17,APAC,ACC-0216,DR-9037,Clear Aligners,6
SHP-300293,2025-02-24,NA,ACC-0147,DR-9985,Clear Aligners,7
SHP-300294,2024-12-29,EMEA,ACC-0188,DR-9257,Clear Aligners,5
SHP-300295,2024-06-30,EMEA,ACC-0108,DR-9298,Clear Aligners,3
SHP-300296,2024-03-30,NA,ACC-0123,DR-9522,Imaging,2
SHP-300297,2025-03-29,EMEA,ACC-0060,DR-9732,Clear Aligners,2
SHP-300298,2025-01-12,NA,ACC-0223,DR-9255,Clear Aligners,6
SHP-300299,2024-03-25,APAC,ACC-0094,DR-9094,Clear Aligners,6
SHP-300300,2025-11-17,APAC,ACC-0182,DR-9022,Imaging,2
SHP-300301,2025-02-22,NA,ACC-0002,DR-9103,Clear Aligners,4
SHP-300302,2024-08-17,NA,ACC-0009,DR-9872,Clear Aligners,6
SHP-300303,2024-02-20,NA,ACC-0203,DR-9640,Clear Aligners,5
SHP-300304,2024-07-11,APAC,ACC-0029,DR-9852,Imaging,1
SHP-300305,2025-12-27,EMEA,ACC-0162,DR-9888,Clear Aligners,8
SHP-300306,2025-03-09,EMEA,ACC-0144,DR-9209,Clear Aligners,3
SHP-300307,2025-05-16,EMEA,ACC-0250,DR-9708,Clear Aligners,1
SHP-300308,2024-10-12,EMEA,ACC-0038,DR-9209,Clear Aligners,2
SHP-300309,2024-01-02,APAC,ACC-0070,DR-9942,Clear Aligners,2
SHP-300310,2025-05-17,EMEA,ACC-0041,DR-9372,Clear Aligners,3
SHP-300311,2024-05-09,NA,ACC-0204,DR-9541,Clear Aligners,5
SHP-300312,2024-12-23,APAC,ACC-0173,DR-9858,Clear Aligners,5
SHP-300313,2025-08-17,APAC,ACC-0176,DR-9416,Scanner,2
SHP-300314,2025-09-24,APAC,ACC-0201,DR-9341,Clear Aligners,3
SHP-300315,2025-04-29,EMEA,ACC-0193,DR-9184,Clear Aligners,6
SHP-300316,2025-09-23,APAC,ACC-0183,DR-9097,Clear Aligners,2
SHP-300317,2024-10-23,EMEA,ACC-0120,DR-9925,Clear Aligners,4
SHP-300318,2024-02-15,APAC,ACC-0221,DR-9888,Clear Aligners,1
SHP-300319,2025-10-04,NA,ACC-0006,DR-9749,Clear Aligners,6
SHP-300320,2024-05-06,APAC,ACC-0118,DR-9438,Clear Aligners,2
SHP-300321,2024-01-12,EMEA,ACC-0219,DR-9156,Clear Aligners,3
SHP-300322,2024-04-21,APAC,ACC-0190,DR-9601,Clear Aligners,8
SHP-300323,2024-10-21,EMEA,ACC-0038,DR-9958,Clear Aligners,4
SHP-300324,2025-04-15,NA,ACC-0066,DR-9457,Clear Aligners,4
SHP-300325,2024-06-07,EMEA,ACC-0064,DR-9251,Clear Aligners,2
SHP-300326,2025-09-16,APAC,ACC-0174,DR-9288,Clear Aligners,4
SHP-300327,2024-03-30,EMEA,ACC-0242,DR-9435,Clear Aligners,7
SHP-300328,2024-12-25,NA,ACC-0228,DR-9044,Clear Aligners,3
SHP-300329,2024-08-14,NA,ACC-0226,DR-9088,Clear Aligners,7
SHP-300330,2024-12-30,EMEA,ACC-0199,DR-9022,Clear Aligners,7
SHP-300331,2024-05-29,NA,ACC-0241,DR-9333,Clear Aligners,6
SHP-300332,2024-12-12,NA,ACC-0168,DR-9467,Clear Aligners,3
SHP-300333,2024-02-25,EMEA,ACC-0142,DR-9414,Clear Aligners,8
SHP-300334,2024-02-28,NA,ACC-0153,DR-9741,Clear Aligners,6
SHP-300335,2024-04-25,NA,ACC-0090,DR-9910,Clear Aligners,6
SHP-300336,2025-12-02,APAC,ACC-0216,DR-9563,Imaging,2
SHP-300337,2024-02-12,NA,ACC-0103,DR-9002,Clear Aligners,6
SHP-300338,2025-04-18,APAC,ACC-0245,DR-9791,Imaging,1
SHP-300339,2024-07-01,APAC,ACC-0201,DR-9535,Clear Aligners,2
SHP-300340,2025-01-27,EMEA,ACC-0110,DR-9704,Clear Aligners,4
SHP-300341,2024-07-03,APAC,ACC-0140,DR-9373,Imaging,1
SHP-300342,2025-08-11,EMEA,ACC-0206,DR-9778,Scanner,1
SHP-300343,2024-01-18,NA,ACC-0103,DR-9379,Clear Aligners,5
SHP-300344,2025-06-26,EMEA,ACC-0138,DR-9596,Clear Aligners,6
SHP-300345,2024-03-24,APAC,ACC-0077,DR-9428,Scanner,2
